Symbol,Name,URL
CHTR,"Charter Communications, Inc.",/wiki/Charter_Communications
U,Unity Software Inc.,/wiki/Unity_Technologies
GTLB,GitLab Inc.,/wiki/GitLab
KKR,KKR,/wiki/Kohlberg_Kravis_Roberts
DHI,D. R. Horton,/wiki/D._R._Horton
HOPE,"Hope Bancorp, Inc.",
GCO,Genesco Inc.,/wiki/Genesco
ENR,"Energizer Holdings, Inc.",/wiki/Energizer
TMUS,"T-Mobile US, Inc.",/wiki/T-Mobile_US
EGHT,"8x8, Inc.",/wiki/8x8
JNJ,Johnson & Johnson,/wiki/Johnson_%26_Johnson
OXY,Occidental Petroleum Corporation,/wiki/Occidental_Petroleum
VALU,"Value Line, Inc.",/wiki/Value_Line
EMF,"Templeton Emerging Markets Fund, Inc.",
BBW,"Build-A-Bear Workshop, Inc.",
CIEN,Ciena,/wiki/Ciena
RXT,"Rackspace Technology, Inc.",/wiki/Rackspace_Technology
TSCO,Tractor Supply Company,/wiki/Tractor_Supply_Company
MU,"Micron Technology, Inc.",/wiki/Micron_Technology
FSR,Fisker Inc.,
CCBG,"Capital City Bank Group, Inc.",
PLUG,Plug Power Inc.,/wiki/Plug_Power
RUN,Sunrun Inc.,/wiki/Sunrun
FDBC,"Fidelity D & D Bancorp, Inc.",
TTGT,"TechTarget, Inc.",/wiki/TechTarget
BIG,"Big Lots, Inc.",
MORN,"Morningstar, Inc.","/wiki/Morningstar,_Inc."
BXP,"Boston Properties, Inc.",
CMCT,Creative Media & Community Trust Corporation,
TU,Telus Corporation,/wiki/Telus_Corporation
VNO,Vornado Realty Trust,/wiki/Vornado_Realty_Trust
NUS,"Nu Skin Enterprises, Inc.",
PEG,Public Service Enterprise Group Inc.,/wiki/Public_Service_Enterprise_Group
TNC,Tennant Company,/wiki/Tennant_Company
TLF,"Tandy Leather Factory, Inc.",
OLO,Olo Inc.,
ME,23andMe Holding Co.,/wiki/23andMe
VSH,"Vishay Intertechnology, Inc.",/wiki/Vishay_Intertechnology
DDD,3D Systems Corporation,/wiki/3D_Systems
EWBC,"East West Bancorp, Inc.",/wiki/East_West_Bancorp
WFC,Wells Fargo & Company,/wiki/Wells_Fargo
EB,"Eventbrite, Inc.",
APEI,"American Public Education, Inc.",
UAL,"United Airlines Holdings, Inc.",/wiki/United_Airlines_Holdings
SABR,Sabre Corporation,/wiki/Sabre_Corporation
VRNT,Verint Systems Inc.,/wiki/Verint_Systems
DDOG,"Datadog, Inc.",/wiki/Datadog
RDBX,Redbox Entertainment Inc.,/wiki/Redbox
YETI,"Yeti Holdings, Inc.",/wiki/Yeti_Holdings
HWC,Hancock Whitney Corporation,/wiki/Hancock_Whitney
GME,GameStop Corp.,/wiki/GameStop
CHD,Church & Dwight,/wiki/Church_%26_Dwight
CNXC,Concentrix Corporation,/wiki/Concentrix
FORR,"Forrester Research, Inc.",
HCKT,"The Hackett Group, Inc.",
GPS,"The Gap, Inc.",/wiki/Gap_Inc.
BYD,Boyd Gaming Corporation,
CACI,CACI,/wiki/CACI
CNP,CenterPoint Energy,/wiki/CenterPoint_Energy
ENPH,"Enphase Energy, Inc.",/wiki/Enphase_Energy
WTW,Willis Towers Watson Public Limited Company,/wiki/Willis_Towers_Watson
WHLM,"Wilhelmina International, Inc.",
CAL,"Caleres, Inc.",
FOXA,Fox Corporation,/wiki/Fox_Corporation
LAZR,"Luminar Technologies, Inc.",/wiki/Luminar_Technologies
PWP,Perella Weinberg Partners,/wiki/Perella_Weinberg_Partners
GOEV,Canoo Inc.,/wiki/Canoo
MCN,Madison Covered Call & Equity Strategy Fund,
ESAB,ESAB Corporation,
ZG,"Zillow Group, Inc.",/wiki/Zillow
VRM,"Vroom, Inc.",
CEG,Constellation Energy Corporation,/wiki/Constellation_Energy
ABT,Abbott Laboratories,/wiki/Abbott_Laboratories
BCSF,"Bain Capital Specialty Finance, Inc.",
RACY,Relativity Acquisition Corp.,
DKNG,DraftKings Inc.,/wiki/DraftKings
TEN,Tenneco Inc.,
AXDX,"Accelerate Diagnostics, Inc.",
SHOP,Shopify Inc.,
OTIS,Otis Worldwide Corporation,
SYNA,Synaptics Incorporated,/wiki/Synaptics
MTSI,"MACOM Technology Solutions Holdings, Inc.",/wiki/MACOM_Technology_Solutions
KLAC,KLA Corporation,/wiki/KLA_Corporation
UONE,"Urban One, Inc.",/wiki/Urban_One
TTEC,"TTEC Holdings, Inc.",/wiki/TTEC
BMRN,BioMarin Pharmaceutical Inc.,/wiki/BioMarin_Pharmaceutical
AGR,Avangrid Inc.,/wiki/Avangrid
AX,"Axos Financial, Inc.",
GOOGL,Alphabet Inc.,/wiki/Alphabet_Inc.
BELFA,Bel Fuse Inc.,
