Date,Pageviews
2024-01-14,42
2024-01-15,90
2024-01-16,111
2024-01-17,97
2024-01-18,108
2024-01-19,96
2024-01-20,67
2024-01-21,81
2024-01-22,78
2024-01-23,79
2024-01-24,85
2024-01-25,108
2024-01-26,67
2024-01-27,64
2024-01-28,57
2024-01-29,76
2024-01-30,81
2024-01-31,86
2024-02-01,58
2024-02-02,67
2024-02-03,49
2024-02-04,25
2024-02-05,63
2024-02-06,76
2024-02-07,82
2024-02-08,62
2024-02-09,71
2024-02-10,48
2024-02-11,48
2024-02-12,61
2024-02-13,67
2024-02-14,73
2024-02-15,90
2024-02-16,61
2024-02-17,27
2024-02-18,26
2024-02-19,58
2024-02-20,86
2024-02-21,61
2024-02-22,64
2024-02-23,42
2024-02-24,48
2024-02-25,37
2024-02-26,72
2024-02-27,58
2024-02-28,54
2024-02-29,65
2024-03-01,59
2024-03-02,44
2024-03-03,32
2024-03-04,74
2024-03-05,61
2024-03-06,66
2024-03-07,60
2024-03-08,63
2024-03-09,43
2024-03-10,50
2024-03-11,76
2024-03-12,67
2024-03-13,74
