Date,Pageviews
2024-01-14,46
2024-01-15,50
2024-01-16,79
2024-01-17,53
2024-01-18,59
2024-01-19,69
2024-01-20,36
2024-01-21,35
2024-01-22,74
2024-01-23,55
2024-01-24,73
2024-01-25,81
2024-01-26,74
2024-01-27,56
2024-01-28,37
2024-01-29,86
2024-01-30,95
2024-01-31,79
2024-02-01,62
2024-02-02,65
2024-02-03,33
2024-02-04,44
2024-02-05,82
2024-02-06,74
2024-02-07,64
2024-02-08,70
2024-02-09,45
2024-02-10,46
2024-02-11,39
2024-02-12,44
2024-02-13,54
2024-02-14,65
2024-02-15,69
2024-02-16,68
2024-02-17,31
2024-02-18,38
2024-02-19,67
2024-02-20,59
2024-02-21,70
2024-02-22,85
2024-02-23,85
2024-02-24,36
2024-02-25,40
2024-02-26,72
2024-02-27,67
2024-02-28,60
2024-02-29,59
2024-03-01,40
2024-03-02,41
2024-03-03,32
2024-03-04,68
2024-03-05,62
2024-03-06,59
2024-03-07,71
2024-03-08,56
2024-03-09,40
2024-03-10,31
2024-03-11,55
2024-03-12,80
2024-03-13,48
