Date,Pageviews
2024-01-14,13
2024-01-15,9
2024-01-16,8
2024-01-17,21
2024-01-18,23
2024-01-19,19
2024-01-20,6
2024-01-21,1
2024-01-22,14
2024-01-23,16
2024-01-24,13
2024-01-25,16
2024-01-26,14
2024-01-27,14
2024-01-28,15
2024-01-29,20
2024-01-30,14
2024-01-31,15
2024-02-01,17
2024-02-02,19
2024-02-03,16
2024-02-04,10
2024-02-05,18
2024-02-06,12
2024-02-07,32
2024-02-08,15
2024-02-09,9
2024-02-10,4
2024-02-11,6
2024-02-12,13
2024-02-13,17
2024-02-14,18
2024-02-15,5
2024-02-16,14
2024-02-17,8
2024-02-18,10
2024-02-19,6
2024-02-20,11
2024-02-21,10
2024-02-22,16
2024-02-23,5
2024-02-24,14
2024-02-25,4
2024-02-26,15
2024-02-27,9
2024-02-28,21
2024-02-29,15
2024-03-01,13
2024-03-02,13
2024-03-03,8
2024-03-04,11
2024-03-05,10
2024-03-06,17
2024-03-07,21
2024-03-08,21
2024-03-09,12
2024-03-10,7
2024-03-11,20
2024-03-12,13
2024-03-13,16
