Date,Pageviews
2024-01-14,29
2024-01-15,24
2024-01-16,39
2024-01-17,44
2024-01-18,60
2024-01-19,41
2024-01-20,28
2024-01-21,20
2024-01-22,46
2024-01-23,57
2024-01-24,51
2024-01-25,48
2024-01-26,60
2024-01-27,28
2024-01-28,25
2024-01-29,62
2024-01-30,62
2024-01-31,40
2024-02-01,41
2024-02-02,41
2024-02-03,31
2024-02-04,33
2024-02-05,60
2024-02-06,59
2024-02-07,57
2024-02-08,45
2024-02-09,32
2024-02-10,17
2024-02-11,24
2024-02-12,38
2024-02-13,42
2024-02-14,33
2024-02-15,41
2024-02-16,40
2024-02-17,32
2024-02-18,26
2024-02-19,27
2024-02-20,58
2024-02-21,51
2024-02-22,80
2024-02-23,40
2024-02-24,23
2024-02-25,30
2024-02-26,46
2024-02-27,64
2024-02-28,67
2024-02-29,56
2024-03-01,43
2024-03-02,22
2024-03-03,26
2024-03-04,44
2024-03-05,55
2024-03-06,53
2024-03-07,41
2024-03-08,55
2024-03-09,19
2024-03-10,37
2024-03-11,42
2024-03-12,52
2024-03-13,55
