Date,Pageviews
2024-01-14,15
2024-01-15,34
2024-01-16,40
2024-01-17,39
2024-01-18,33
2024-01-19,41
2024-01-20,28
2024-01-21,15
2024-01-22,32
2024-01-23,52
2024-01-24,45
2024-01-25,35
2024-01-26,38
2024-01-27,30
2024-01-28,25
2024-01-29,42
2024-01-30,38
2024-01-31,38
2024-02-01,44
2024-02-02,27
2024-02-03,27
2024-02-04,17
2024-02-05,38
2024-02-06,44
2024-02-07,52
2024-02-08,72
2024-02-09,30
2024-02-10,28
2024-02-11,24
2024-02-12,39
2024-02-13,54
2024-02-14,43
2024-02-15,57
2024-02-16,39
2024-02-17,31
2024-02-18,26
2024-02-19,53
2024-02-20,59
2024-02-21,54
2024-02-22,72
2024-02-23,61
2024-02-24,33
2024-02-25,24
2024-02-26,51
2024-02-27,69
2024-02-28,67
2024-02-29,61
2024-03-01,52
2024-03-02,29
2024-03-03,30
2024-03-04,66
2024-03-05,78
2024-03-06,65
2024-03-07,65
2024-03-08,54
2024-03-09,36
2024-03-10,50
2024-03-11,120
2024-03-12,108
2024-03-13,97
