Date,Pageviews
2024-01-14,39
2024-01-15,37
2024-01-16,40
2024-01-17,45
2024-01-18,58
2024-01-19,68
2024-01-20,41
2024-01-21,48
2024-01-22,102
2024-01-23,120
2024-01-24,72
2024-01-25,74
2024-01-26,62
2024-01-27,38
2024-01-28,35
2024-01-29,96
2024-01-30,61
2024-01-31,46
2024-02-01,59
2024-02-02,42
2024-02-03,24
2024-02-04,31
2024-02-05,59
2024-02-06,44
2024-02-07,74
2024-02-08,47
2024-02-09,71
2024-02-10,50
2024-02-11,40
2024-02-12,55
2024-02-13,43
2024-02-14,55
2024-02-15,51
2024-02-16,34
2024-02-17,20
2024-02-18,31
2024-02-19,41
2024-02-20,59
2024-02-21,42
2024-02-22,50
2024-02-23,38
2024-02-24,24
2024-02-25,28
2024-02-26,215
2024-02-27,118
2024-02-28,97
2024-02-29,72
2024-03-01,63
2024-03-02,58
2024-03-03,44
2024-03-04,73
2024-03-05,51
2024-03-06,43
2024-03-07,44
2024-03-08,29
2024-03-09,29
2024-03-10,28
2024-03-11,51
2024-03-12,63
2024-03-13,40
