Date,Pageviews
2024-01-14,41
2024-01-15,60
2024-01-16,78
2024-01-17,64
2024-01-18,92
2024-01-19,84
2024-01-20,41
2024-01-21,50
2024-01-22,90
2024-01-23,73
2024-01-24,71
2024-01-25,87
2024-01-26,75
2024-01-27,25
2024-01-28,29
2024-01-29,72
2024-01-30,98
2024-01-31,85
2024-02-01,101
2024-02-02,73
2024-02-03,75
2024-02-04,52
2024-02-05,90
2024-02-06,85
2024-02-07,100
2024-02-08,107
2024-02-09,86
2024-02-10,74
2024-02-11,64
2024-02-12,137
2024-02-13,120
2024-02-14,122
2024-02-15,147
2024-02-16,101
2024-02-17,75
2024-02-18,104
2024-02-19,127
2024-02-20,153
2024-02-21,171
2024-02-22,176
2024-02-23,145
2024-02-24,105
2024-02-25,96
2024-02-26,106
2024-02-27,156
2024-02-28,121
2024-02-29,112
2024-03-01,138
2024-03-02,73
2024-03-03,56
2024-03-04,109
2024-03-05,89
2024-03-06,88
2024-03-07,87
2024-03-08,66
2024-03-09,43
2024-03-10,40
2024-03-11,87
2024-03-12,81
2024-03-13,94
