Date,Pageviews
2024-01-14,42
2024-01-15,62
2024-01-16,68
2024-01-17,73
2024-01-18,74
2024-01-19,69
2024-01-20,47
2024-01-21,65
2024-01-22,69
2024-01-23,64
2024-01-24,65
2024-01-25,77
2024-01-26,77
2024-01-27,36
2024-01-28,42
2024-01-29,70
2024-01-30,59
2024-01-31,72
2024-02-01,66
2024-02-02,57
2024-02-03,52
2024-02-04,47
2024-02-05,64
2024-02-06,82
2024-02-07,82
2024-02-08,62
2024-02-09,65
2024-02-10,36
2024-02-11,41
2024-02-12,61
2024-02-13,56
2024-02-14,56
2024-02-15,68
2024-02-16,65
2024-02-17,34
2024-02-18,48
2024-02-19,57
2024-02-20,71
2024-02-21,60
2024-02-22,59
2024-02-23,87
2024-02-24,48
2024-02-25,72
2024-02-26,75
2024-02-27,66
2024-02-28,74
2024-02-29,75
2024-03-01,74
2024-03-02,57
2024-03-03,42
2024-03-04,76
2024-03-05,80
2024-03-06,76
2024-03-07,60
2024-03-08,81
2024-03-09,66
2024-03-10,51
2024-03-11,83
2024-03-12,92
2024-03-13,88
