Date,Pageviews
2024-01-14,63
2024-01-15,75
2024-01-16,79
2024-01-17,87
2024-01-18,71
2024-01-19,67
2024-01-20,40
2024-01-21,43
2024-01-22,63
2024-01-23,64
2024-01-24,63
2024-01-25,66
2024-01-26,41
2024-01-27,40
2024-01-28,50
2024-01-29,57
2024-01-30,61
2024-01-31,63
2024-02-01,60
2024-02-02,74
2024-02-03,31
2024-02-04,24
2024-02-05,51
2024-02-06,47
2024-02-07,66
2024-02-08,43
2024-02-09,49
2024-02-10,24
2024-02-11,39
2024-02-12,44
2024-02-13,53
2024-02-14,57
2024-02-15,54
2024-02-16,51
2024-02-17,26
2024-02-18,33
2024-02-19,41
2024-02-20,47
2024-02-21,38
2024-02-22,61
2024-02-23,39
2024-02-24,27
2024-02-25,27
2024-02-26,58
2024-02-27,45
2024-02-28,54
2024-02-29,50
2024-03-01,75
2024-03-02,31
2024-03-03,25
2024-03-04,59
2024-03-05,53
2024-03-06,45
2024-03-07,46
2024-03-08,52
2024-03-09,54
2024-03-10,27
2024-03-11,45
2024-03-12,51
2024-03-13,50
