Date,Pageviews
2024-01-14,9
2024-01-15,25
2024-01-16,37
2024-01-17,53
2024-01-18,47
2024-01-19,41
2024-01-20,15
2024-01-21,23
2024-01-22,41
2024-01-23,43
2024-01-24,45
2024-01-25,59
2024-01-26,41
2024-01-27,9
2024-01-28,17
2024-01-29,51
2024-01-30,39
2024-01-31,44
2024-02-01,27
2024-02-02,38
2024-02-03,16
2024-02-04,15
2024-02-05,30
2024-02-06,39
2024-02-07,49
2024-02-08,28
2024-02-09,28
2024-02-10,16
2024-02-11,12
2024-02-12,43
2024-02-13,33
2024-02-14,22
2024-02-15,27
2024-02-16,45
2024-02-17,12
2024-02-18,14
2024-02-19,38
2024-02-20,30
2024-02-21,45
2024-02-22,43
2024-02-23,22
2024-02-24,15
2024-02-25,15
2024-02-26,30
2024-02-27,38
2024-02-28,36
2024-02-29,44
2024-03-01,29
2024-03-02,29
2024-03-03,20
2024-03-04,44
2024-03-05,42
2024-03-06,35
2024-03-07,36
2024-03-08,40
2024-03-09,16
2024-03-10,13
2024-03-11,30
2024-03-12,36
2024-03-13,41
