Date,Pageviews
2024-01-14,36
2024-01-15,66
2024-01-16,75
2024-01-17,103
2024-01-18,74
2024-01-19,68
2024-01-20,43
2024-01-21,45
2024-01-22,83
2024-01-23,106
2024-01-24,96
2024-01-25,88
2024-01-26,67
2024-01-27,48
2024-01-28,46
2024-01-29,69
2024-01-30,98
2024-01-31,69
2024-02-01,89
2024-02-02,84
2024-02-03,51
2024-02-04,61
2024-02-05,67
2024-02-06,78
2024-02-07,63
2024-02-08,64
2024-02-09,78
2024-02-10,52
2024-02-11,51
2024-02-12,69
2024-02-13,66
2024-02-14,71
2024-02-15,87
2024-02-16,60
2024-02-17,26
2024-02-18,46
2024-02-19,48
2024-02-20,86
2024-02-21,114
2024-02-22,70
2024-02-23,72
2024-02-24,35
2024-02-25,27
2024-02-26,48
2024-02-27,71
2024-02-28,115
2024-02-29,76
2024-03-01,74
2024-03-02,41
2024-03-03,46
2024-03-04,62
2024-03-05,95
2024-03-06,79
2024-03-07,62
2024-03-08,70
2024-03-09,41
2024-03-10,26
2024-03-11,70
2024-03-12,70
2024-03-13,79
