Date,Pageviews
2024-01-14,21
2024-01-15,56
2024-01-16,94
2024-01-17,97
2024-01-18,28
2024-01-19,13
2024-01-20,15
2024-01-21,17
2024-01-22,21
2024-01-23,26
2024-01-24,26
2024-01-25,13
2024-01-26,20
2024-01-27,9
2024-01-28,8
2024-01-29,21
2024-01-30,10
2024-01-31,9
2024-02-01,9
2024-02-02,5
2024-02-03,8
2024-02-04,2
2024-02-05,5
2024-02-06,6
2024-02-07,7
2024-02-08,6
2024-02-09,7
2024-02-10,3
2024-02-11,4
2024-02-12,7
2024-02-13,5
2024-02-14,4
2024-02-15,2
2024-02-16,5
2024-02-17,2
2024-02-18,8
2024-02-19,3
2024-02-20,3
2024-02-21,4
2024-02-22,7
2024-02-23,1
2024-02-24,4
2024-02-25,8
2024-02-26,5
2024-02-27,2
2024-02-28,7
2024-02-29,2
2024-03-01,6
2024-03-02,10
2024-03-03,2
2024-03-04,4
2024-03-05,8
2024-03-06,6
2024-03-07,7
2024-03-08,7
2024-03-09,2
2024-03-10,1
2024-03-11,3
2024-03-12,0
2024-03-13,4
