Date,Pageviews
2024-01-14,29
2024-01-15,49
2024-01-16,77
2024-01-17,77
2024-01-18,47
2024-01-19,49
2024-01-20,43
2024-01-21,24
2024-01-22,39
2024-01-23,55
2024-01-24,68
2024-01-25,68
2024-01-26,51
2024-01-27,46
2024-01-28,26
2024-01-29,55
2024-01-30,89
2024-01-31,83
2024-02-01,60
2024-02-02,77
2024-02-03,27
2024-02-04,29
2024-02-05,62
2024-02-06,43
2024-02-07,47
2024-02-08,61
2024-02-09,51
2024-02-10,18
2024-02-11,24
2024-02-12,37
2024-02-13,50
2024-02-14,54
2024-02-15,49
2024-02-16,45
2024-02-17,35
2024-02-18,16
2024-02-19,27
2024-02-20,53
2024-02-21,47
2024-02-22,58
2024-02-23,43
2024-02-24,29
2024-02-25,26
2024-02-26,56
2024-02-27,85
2024-02-28,100
2024-02-29,74
2024-03-01,53
2024-03-02,28
2024-03-03,37
2024-03-04,50
2024-03-05,46
2024-03-06,53
2024-03-07,48
2024-03-08,38
2024-03-09,24
2024-03-10,12
2024-03-11,51
2024-03-12,46
2024-03-13,52
