Date,Pageviews
2024-01-14,47
2024-01-15,47
2024-01-16,73
2024-01-17,90
2024-01-18,86
2024-01-19,84
2024-01-20,45
2024-01-21,60
2024-01-22,90
2024-01-23,82
2024-01-24,100
2024-01-25,68
2024-01-26,63
2024-01-27,44
2024-01-28,44
2024-01-29,63
2024-01-30,83
2024-01-31,98
2024-02-01,93
2024-02-02,70
2024-02-03,56
2024-02-04,36
2024-02-05,77
2024-02-06,69
2024-02-07,64
2024-02-08,67
2024-02-09,67
2024-02-10,43
2024-02-11,36
2024-02-12,63
2024-02-13,58
2024-02-14,61
2024-02-15,65
2024-02-16,74
2024-02-17,58
2024-02-18,84
2024-02-19,127
2024-02-20,61
2024-02-21,69
2024-02-22,76
2024-02-23,68
2024-02-24,38
2024-02-25,47
2024-02-26,64
2024-02-27,75
2024-02-28,83
2024-02-29,75
2024-03-01,60
2024-03-02,41
2024-03-03,34
2024-03-04,64
2024-03-05,67
2024-03-06,84
2024-03-07,85
2024-03-08,60
2024-03-09,46
2024-03-10,89
2024-03-11,85
2024-03-12,86
2024-03-13,75
