Date,Pageviews
2024-01-14,72
2024-01-15,99
2024-01-16,107
2024-01-17,91
2024-01-18,121
2024-01-19,120
2024-01-20,94
2024-01-21,112
2024-01-22,102
2024-01-23,110
2024-01-24,104
2024-01-25,79
2024-01-26,97
2024-01-27,78
2024-01-28,90
2024-01-29,102
2024-01-30,98
2024-01-31,101
2024-02-01,107
2024-02-02,113
2024-02-03,87
2024-02-04,89
2024-02-05,116
2024-02-06,111
2024-02-07,77
2024-02-08,89
2024-02-09,89
2024-02-10,65
2024-02-11,71
2024-02-12,78
2024-02-13,86
2024-02-14,91
2024-02-15,109
2024-02-16,105
2024-02-17,99
2024-02-18,104
2024-02-19,107
2024-02-20,110
2024-02-21,125
2024-02-22,132
2024-02-23,104
2024-02-24,79
2024-02-25,83
2024-02-26,144
2024-02-27,128
2024-02-28,100
2024-02-29,90
2024-03-01,118
2024-03-02,90
2024-03-03,93
2024-03-04,111
2024-03-05,103
2024-03-06,129
2024-03-07,119
2024-03-08,102
2024-03-09,101
2024-03-10,116
2024-03-11,89
2024-03-12,122
2024-03-13,109
