Date,Pageviews
2024-01-14,33
2024-01-15,50
2024-01-16,72
2024-01-17,51
2024-01-18,80
2024-01-19,69
2024-01-20,42
2024-01-21,35
2024-01-22,66
2024-01-23,65
2024-01-24,66
2024-01-25,64
2024-01-26,74
2024-01-27,24
2024-01-28,30
2024-01-29,81
2024-01-30,134
2024-01-31,112
2024-02-01,75
2024-02-02,69
2024-02-03,58
2024-02-04,41
2024-02-05,59
2024-02-06,71
2024-02-07,102
2024-02-08,99
2024-02-09,72
2024-02-10,34
2024-02-11,46
2024-02-12,66
2024-02-13,70
2024-02-14,64
2024-02-15,76
2024-02-16,56
2024-02-17,30
2024-02-18,35
2024-02-19,69
2024-02-20,71
2024-02-21,66
2024-02-22,86
2024-02-23,78
2024-02-24,51
2024-02-25,46
2024-02-26,75
2024-02-27,71
2024-02-28,60
2024-02-29,80
2024-03-01,64
2024-03-02,44
2024-03-03,32
2024-03-04,63
2024-03-05,70
2024-03-06,63
2024-03-07,73
2024-03-08,65
2024-03-09,42
2024-03-10,35
2024-03-11,67
2024-03-12,95
2024-03-13,78
