Date,Pageviews
2024-01-14,31
2024-01-15,80
2024-01-16,91
2024-01-17,101
2024-01-18,80
2024-01-19,89
2024-01-20,29
2024-01-21,41
2024-01-22,86
2024-01-23,84
2024-01-24,98
2024-01-25,91
2024-01-26,57
2024-01-27,36
2024-01-28,29
2024-01-29,117
2024-01-30,106
2024-01-31,112
2024-02-01,71
2024-02-02,77
2024-02-03,32
2024-02-04,48
2024-02-05,76
2024-02-06,94
2024-02-07,72
2024-02-08,77
2024-02-09,72
2024-02-10,36
2024-02-11,22
2024-02-12,76
2024-02-13,61
2024-02-14,55
2024-02-15,73
2024-02-16,56
2024-02-17,41
2024-02-18,35
2024-02-19,68
2024-02-20,85
2024-02-21,69
2024-02-22,77
2024-02-23,60
2024-02-24,39
2024-02-25,52
2024-02-26,79
2024-02-27,60
2024-02-28,71
2024-02-29,84
2024-03-01,63
2024-03-02,26
2024-03-03,35
2024-03-04,81
2024-03-05,82
2024-03-06,65
2024-03-07,80
2024-03-08,59
2024-03-09,34
2024-03-10,37
2024-03-11,72
2024-03-12,76
2024-03-13,52
