Date,Pageviews
2024-01-14,2299
2024-01-15,2496
2024-01-16,2385
2024-01-17,1973
2024-01-18,1816
2024-01-19,1772
2024-01-20,1354
2024-01-21,1319
2024-01-22,1821
2024-01-23,1251
2024-01-24,1350
2024-01-25,1100
2024-01-26,959
2024-01-27,873
2024-01-28,797
2024-01-29,1133
2024-01-30,1126
2024-01-31,1397
2024-02-01,1485
2024-02-02,965
2024-02-03,893
2024-02-04,769
2024-02-05,926
2024-02-06,962
2024-02-07,928
2024-02-08,906
2024-02-09,981
2024-02-10,864
2024-02-11,1023
2024-02-12,1276
2024-02-13,1525
2024-02-14,1671
2024-02-15,1847
2024-02-16,2151
2024-02-17,1106
2024-02-18,1130
2024-02-19,1653
2024-02-20,1445
2024-02-21,1331
2024-02-22,1210
2024-02-23,1228
2024-02-24,947
2024-02-25,992
2024-02-26,1409
2024-02-27,1825
2024-02-28,2561
2024-02-29,2261
2024-03-01,1449
2024-03-02,1393
2024-03-03,1215
2024-03-04,2069
2024-03-05,2244
2024-03-06,1959
2024-03-07,1744
2024-03-08,1780
2024-03-09,1474
2024-03-10,1603
2024-03-11,2181
2024-03-12,2276
2024-03-13,2040
