Date,Pageviews
2024-01-14,33
2024-01-15,75
2024-01-16,78
2024-01-17,104
2024-01-18,101
2024-01-19,59
2024-01-20,44
2024-01-21,46
2024-01-22,89
2024-01-23,118
2024-01-24,115
2024-01-25,93
2024-01-26,70
2024-01-27,53
2024-01-28,66
2024-01-29,116
2024-01-30,110
2024-01-31,96
2024-02-01,82
2024-02-02,74
2024-02-03,66
2024-02-04,35
2024-02-05,66
2024-02-06,70
2024-02-07,65
2024-02-08,105
2024-02-09,63
2024-02-10,38
2024-02-11,55
2024-02-12,93
2024-02-13,70
2024-02-14,59
2024-02-15,72
2024-02-16,71
2024-02-17,52
2024-02-18,36
2024-02-19,63
2024-02-20,81
2024-02-21,71
2024-02-22,82
2024-02-23,67
2024-02-24,45
2024-02-25,44
2024-02-26,87
2024-02-27,68
2024-02-28,73
2024-02-29,63
2024-03-01,60
2024-03-02,60
2024-03-03,34
2024-03-04,86
2024-03-05,92
2024-03-06,89
2024-03-07,67
2024-03-08,64
2024-03-09,51
2024-03-10,40
2024-03-11,70
2024-03-12,86
2024-03-13,75
