Date,Pageviews
2024-01-14,36
2024-01-15,43
2024-01-16,63
2024-01-17,68
2024-01-18,54
2024-01-19,74
2024-01-20,41
2024-01-21,41
2024-01-22,65
2024-01-23,78
2024-01-24,53
2024-01-25,70
2024-01-26,71
2024-01-27,37
2024-01-28,20
2024-01-29,73
2024-01-30,71
2024-01-31,77
2024-02-01,79
2024-02-02,64
2024-02-03,27
2024-02-04,41
2024-02-05,60
2024-02-06,66
2024-02-07,61
2024-02-08,49
2024-02-09,42
2024-02-10,34
2024-02-11,39
2024-02-12,75
2024-02-13,70
2024-02-14,54
2024-02-15,53
2024-02-16,53
2024-02-17,46
2024-02-18,32
2024-02-19,56
2024-02-20,52
2024-02-21,77
2024-02-22,73
2024-02-23,67
2024-02-24,41
2024-02-25,37
2024-02-26,58
2024-02-27,43
2024-02-28,89
2024-02-29,64
2024-03-01,81
2024-03-02,34
2024-03-03,35
2024-03-04,54
2024-03-05,68
2024-03-06,94
2024-03-07,57
2024-03-08,46
2024-03-09,24
2024-03-10,26
2024-03-11,41
2024-03-12,70
2024-03-13,40
