Date,Pageviews
2024-01-14,59
2024-01-15,69
2024-01-16,87
2024-01-17,78
2024-01-18,80
2024-01-19,66
2024-01-20,42
2024-01-21,47
2024-01-22,73
2024-01-23,87
2024-01-24,62
2024-01-25,101
2024-01-26,72
2024-01-27,50
2024-01-28,48
2024-01-29,88
2024-01-30,90
2024-01-31,99
2024-02-01,81
2024-02-02,92
2024-02-03,57
2024-02-04,55
2024-02-05,94
2024-02-06,143
2024-02-07,91
2024-02-08,100
2024-02-09,83
2024-02-10,39
2024-02-11,41
2024-02-12,76
2024-02-13,77
2024-02-14,86
2024-02-15,73
2024-02-16,61
2024-02-17,45
2024-02-18,51
2024-02-19,75
2024-02-20,109
2024-02-21,80
2024-02-22,82
2024-02-23,60
2024-02-24,57
2024-02-25,59
2024-02-26,57
2024-02-27,63
2024-02-28,67
2024-02-29,80
2024-03-01,74
2024-03-02,36
2024-03-03,39
2024-03-04,74
2024-03-05,118
2024-03-06,81
2024-03-07,86
2024-03-08,56
2024-03-09,46
2024-03-10,50
2024-03-11,96
2024-03-12,84
2024-03-13,97
