Date,Pageviews
2024-01-14,60
2024-01-15,66
2024-01-16,76
2024-01-17,60
2024-01-18,67
2024-01-19,64
2024-01-20,65
2024-01-21,66
2024-01-22,105
2024-01-23,53
2024-01-24,88
2024-01-25,60
2024-01-26,64
2024-01-27,37
2024-01-28,47
2024-01-29,82
2024-01-30,62
2024-01-31,115
2024-02-01,61
2024-02-02,59
2024-02-03,57
2024-02-04,41
2024-02-05,72
2024-02-06,66
2024-02-07,78
2024-02-08,41
2024-02-09,62
2024-02-10,50
2024-02-11,39
2024-02-12,64
2024-02-13,55
2024-02-14,61
2024-02-15,54
2024-02-16,49
2024-02-17,49
2024-02-18,48
2024-02-19,65
2024-02-20,49
2024-02-21,66
2024-02-22,59
2024-02-23,56
2024-02-24,71
2024-02-25,68
2024-02-26,60
2024-02-27,77
2024-02-28,56
2024-02-29,42
2024-03-01,51
2024-03-02,33
2024-03-03,51
2024-03-04,55
2024-03-05,55
2024-03-06,45
2024-03-07,51
2024-03-08,61
2024-03-09,47
2024-03-10,49
2024-03-11,46
2024-03-12,48
2024-03-13,60
