Date,Pageviews
2024-01-14,41
2024-01-15,57
2024-01-16,82
2024-01-17,116
2024-01-18,102
2024-01-19,85
2024-01-20,59
2024-01-21,47
2024-01-22,73
2024-01-23,73
2024-01-24,82
2024-01-25,95
2024-01-26,77
2024-01-27,55
2024-01-28,57
2024-01-29,99
2024-01-30,98
2024-01-31,113
2024-02-01,100
2024-02-02,87
2024-02-03,55
2024-02-04,59
2024-02-05,115
2024-02-06,133
2024-02-07,106
2024-02-08,142
2024-02-09,130
2024-02-10,70
2024-02-11,96
2024-02-12,132
2024-02-13,156
2024-02-14,129
2024-02-15,150
2024-02-16,126
2024-02-17,121
2024-02-18,129
2024-02-19,158
2024-02-20,207
2024-02-21,261
2024-02-22,289
2024-02-23,245
2024-02-24,169
2024-02-25,141
2024-02-26,224
2024-02-27,227
2024-02-28,217
2024-02-29,262
2024-03-01,200
2024-03-02,139
2024-03-03,141
2024-03-04,170
2024-03-05,185
2024-03-06,219
2024-03-07,179
2024-03-08,143
2024-03-09,122
2024-03-10,117
2024-03-11,167
2024-03-12,181
2024-03-13,187
