Date,Pageviews
2024-01-14,91
2024-01-15,95
2024-01-16,174
2024-01-17,122
2024-01-18,141
2024-01-19,89
2024-01-20,89
2024-01-21,80
2024-01-22,107
2024-01-23,112
2024-01-24,153
2024-01-25,157
2024-01-26,134
2024-01-27,117
2024-01-28,119
2024-01-29,121
2024-01-30,142
2024-01-31,130
2024-02-01,112
2024-02-02,116
2024-02-03,95
2024-02-04,84
2024-02-05,125
2024-02-06,144
2024-02-07,121
2024-02-08,116
2024-02-09,103
2024-02-10,84
2024-02-11,96
2024-02-12,155
2024-02-13,140
2024-02-14,132
2024-02-15,130
2024-02-16,99
2024-02-17,78
2024-02-18,79
2024-02-19,107
2024-02-20,109
2024-02-21,91
2024-02-22,100
2024-02-23,114
2024-02-24,61
2024-02-25,97
2024-02-26,121
2024-02-27,139
2024-02-28,115
2024-02-29,108
2024-03-01,96
2024-03-02,80
2024-03-03,84
2024-03-04,119
2024-03-05,107
2024-03-06,107
2024-03-07,94
2024-03-08,93
2024-03-09,81
2024-03-10,72
2024-03-11,133
2024-03-12,140
2024-03-13,159
