Date,Pageviews
2024-01-14,75
2024-01-15,84
2024-01-16,98
2024-01-17,97
2024-01-18,140
2024-01-19,90
2024-01-20,66
2024-01-21,84
2024-01-22,119
2024-01-23,111
2024-01-24,97
2024-01-25,87
2024-01-26,112
2024-01-27,67
2024-01-28,69
2024-01-29,114
2024-01-30,101
2024-01-31,116
2024-02-01,117
2024-02-02,128
2024-02-03,58
2024-02-04,61
2024-02-05,110
2024-02-06,117
2024-02-07,111
2024-02-08,92
2024-02-09,111
2024-02-10,40
2024-02-11,64
2024-02-12,132
2024-02-13,130
2024-02-14,106
2024-02-15,97
2024-02-16,89
2024-02-17,42
2024-02-18,46
2024-02-19,91
2024-02-20,99
2024-02-21,95
2024-02-22,155
2024-02-23,125
2024-02-24,83
2024-02-25,69
2024-02-26,119
2024-02-27,123
2024-02-28,143
2024-02-29,136
2024-03-01,93
2024-03-02,64
2024-03-03,75
2024-03-04,97
2024-03-05,102
2024-03-06,120
2024-03-07,115
2024-03-08,97
2024-03-09,46
2024-03-10,77
2024-03-11,90
2024-03-12,111
2024-03-13,113
