Date,Pageviews
2024-01-14,61
2024-01-15,61
2024-01-16,79
2024-01-17,84
2024-01-18,85
2024-01-19,78
2024-01-20,50
2024-01-21,60
2024-01-22,77
2024-01-23,84
2024-01-24,84
2024-01-25,99
2024-01-26,73
2024-01-27,89
2024-01-28,55
2024-01-29,64
2024-01-30,89
2024-01-31,95
2024-02-01,66
2024-02-02,83
2024-02-03,55
2024-02-04,77
2024-02-05,88
2024-02-06,73
2024-02-07,100
2024-02-08,82
2024-02-09,70
2024-02-10,46
2024-02-11,40
2024-02-12,59
2024-02-13,72
2024-02-14,81
2024-02-15,69
2024-02-16,55
2024-02-17,49
2024-02-18,55
2024-02-19,57
2024-02-20,89
2024-02-21,67
2024-02-22,72
2024-02-23,84
2024-02-24,37
2024-02-25,44
2024-02-26,85
2024-02-27,99
2024-02-28,95
2024-02-29,66
2024-03-01,89
2024-03-02,52
2024-03-03,51
2024-03-04,62
2024-03-05,86
2024-03-06,66
2024-03-07,64
2024-03-08,84
2024-03-09,61
2024-03-10,50
2024-03-11,90
2024-03-12,65
2024-03-13,75
