Date,Pageviews
2024-01-14,1886
2024-01-15,1755
2024-01-16,1872
2024-01-17,1574
2024-01-18,1564
2024-01-19,1498
2024-01-20,1486
2024-01-21,2012
2024-01-22,1526
2024-01-23,1365
2024-01-24,1584
2024-01-25,1575
2024-01-26,1343
2024-01-27,1348
2024-01-28,1537
2024-01-29,2065
2024-01-30,1504
2024-01-31,1503
2024-02-01,1350
2024-02-02,1369
2024-02-03,1302
2024-02-04,1247
2024-02-05,1264
2024-02-06,1629
2024-02-07,2373
2024-02-08,1749
2024-02-09,1618
2024-02-10,1385
2024-02-11,1399
2024-02-12,1804
2024-02-13,1583
2024-02-14,1441
2024-02-15,1465
2024-02-16,1234
2024-02-17,1270
2024-02-18,1310
2024-02-19,1405
2024-02-20,1350
2024-02-21,1232
2024-02-22,1259
2024-02-23,1271
2024-02-24,1185
2024-02-25,1324
2024-02-26,1226
2024-02-27,1300
2024-02-28,1277
2024-02-29,1280
2024-03-01,1215
2024-03-02,1221
2024-03-03,1364
2024-03-04,1306
2024-03-05,1296
2024-03-06,1186
2024-03-07,1574
2024-03-08,1884
2024-03-09,1387
2024-03-10,1310
2024-03-11,1363
2024-03-12,1219
2024-03-13,1309
