Date,Pageviews
2024-01-14,34
2024-01-15,41
2024-01-16,32
2024-01-17,33
2024-01-18,30
2024-01-19,55
2024-01-20,51
2024-01-21,42
2024-01-22,67
2024-01-23,44
2024-01-24,51
2024-01-25,24
2024-01-26,34
2024-01-27,26
2024-01-28,38
2024-01-29,33
2024-01-30,55
2024-01-31,42
2024-02-01,31
2024-02-02,45
2024-02-03,23
2024-02-04,32
2024-02-05,51
2024-02-06,47
2024-02-07,43
2024-02-08,35
2024-02-09,33
2024-02-10,22
2024-02-11,43
2024-02-12,41
2024-02-13,32
2024-02-14,28
2024-02-15,32
2024-02-16,26
2024-02-17,44
2024-02-18,34
2024-02-19,32
2024-02-20,23
2024-02-21,26
2024-02-22,30
2024-02-23,35
2024-02-24,30
2024-02-25,41
2024-02-26,92
2024-02-27,74
2024-02-28,59
2024-02-29,61
2024-03-01,22
2024-03-02,30
2024-03-03,26
2024-03-04,32
2024-03-05,38
2024-03-06,41
2024-03-07,29
2024-03-08,35
2024-03-09,30
2024-03-10,33
2024-03-11,33
2024-03-12,42
2024-03-13,49
