Date,Pageviews
2024-01-14,50
2024-01-15,57
2024-01-16,53
2024-01-17,44
2024-01-18,41
2024-01-19,38
2024-01-20,27
2024-01-21,43
2024-01-22,46
2024-01-23,30
2024-01-24,27
2024-01-25,37
2024-01-26,30
2024-01-27,33
2024-01-28,26
2024-01-29,57
2024-01-30,41
2024-01-31,59
2024-02-01,38
2024-02-02,41
2024-02-03,33
2024-02-04,39
2024-02-05,36
2024-02-06,26
2024-02-07,42
2024-02-08,59
2024-02-09,34
2024-02-10,33
2024-02-11,25
2024-02-12,40
2024-02-13,47
2024-02-14,44
2024-02-15,44
2024-02-16,37
2024-02-17,27
2024-02-18,26
2024-02-19,39
2024-02-20,44
2024-02-21,28
2024-02-22,34
2024-02-23,31
2024-02-24,21
2024-02-25,32
2024-02-26,368
2024-02-27,259
2024-02-28,142
2024-02-29,75
2024-03-01,46
2024-03-02,45
2024-03-03,47
2024-03-04,46
2024-03-05,45
2024-03-06,53
2024-03-07,49
2024-03-08,40
2024-03-09,34
2024-03-10,45
2024-03-11,47
2024-03-12,51
2024-03-13,29
