Date,Pageviews
2024-01-14,78
2024-01-15,119
2024-01-16,108
2024-01-17,100
2024-01-18,140
2024-01-19,99
2024-01-20,96
2024-01-21,51
2024-01-22,109
2024-01-23,131
2024-01-24,112
2024-01-25,94
2024-01-26,100
2024-01-27,64
2024-01-28,82
2024-01-29,111
2024-01-30,137
2024-01-31,135
2024-02-01,127
2024-02-02,99
2024-02-03,64
2024-02-04,71
2024-02-05,100
2024-02-06,78
2024-02-07,81
2024-02-08,87
2024-02-09,70
2024-02-10,85
2024-02-11,54
2024-02-12,82
2024-02-13,103
2024-02-14,83
2024-02-15,84
2024-02-16,110
2024-02-17,69
2024-02-18,55
2024-02-19,86
2024-02-20,88
2024-02-21,74
2024-02-22,92
2024-02-23,72
2024-02-24,73
2024-02-25,67
2024-02-26,67
2024-02-27,99
2024-02-28,113
2024-02-29,109
2024-03-01,72
2024-03-02,78
2024-03-03,79
2024-03-04,101
2024-03-05,97
2024-03-06,97
2024-03-07,78
2024-03-08,101
2024-03-09,78
2024-03-10,86
2024-03-11,81
2024-03-12,88
2024-03-13,113
