Date,Pageviews
2024-01-14,39
2024-01-15,46
2024-01-16,38
2024-01-17,54
2024-01-18,56
2024-01-19,52
2024-01-20,27
2024-01-21,29
2024-01-22,53
2024-01-23,34
2024-01-24,43
2024-01-25,45
2024-01-26,45
2024-01-27,43
2024-01-28,35
2024-01-29,53
2024-01-30,54
2024-01-31,88
2024-02-01,89
2024-02-02,66
2024-02-03,34
2024-02-04,31
2024-02-05,49
2024-02-06,50
2024-02-07,57
2024-02-08,44
2024-02-09,42
2024-02-10,55
2024-02-11,35
2024-02-12,45
2024-02-13,53
2024-02-14,44
2024-02-15,50
2024-02-16,49
2024-02-17,33
2024-02-18,35
2024-02-19,38
2024-02-20,49
2024-02-21,50
2024-02-22,52
2024-02-23,48
2024-02-24,46
2024-02-25,43
2024-02-26,71
2024-02-27,50
2024-02-28,54
2024-02-29,65
2024-03-01,47
2024-03-02,39
2024-03-03,38
2024-03-04,46
2024-03-05,57
2024-03-06,36
2024-03-07,67
2024-03-08,54
2024-03-09,33
2024-03-10,29
2024-03-11,51
2024-03-12,62
2024-03-13,54
