Date,Pageviews
2024-01-14,30
2024-01-15,61
2024-01-16,73
2024-01-17,79
2024-01-18,69
2024-01-19,69
2024-01-20,30
2024-01-21,28
2024-01-22,60
2024-01-23,58
2024-01-24,76
2024-01-25,67
2024-01-26,31
2024-01-27,26
2024-01-28,19
2024-01-29,79
2024-01-30,54
2024-01-31,66
2024-02-01,53
2024-02-02,49
2024-02-03,33
2024-02-04,24
2024-02-05,63
2024-02-06,43
2024-02-07,47
2024-02-08,55
2024-02-09,33
2024-02-10,26
2024-02-11,22
2024-02-12,52
2024-02-13,61
2024-02-14,60
2024-02-15,64
2024-02-16,44
2024-02-17,21
2024-02-18,23
2024-02-19,61
2024-02-20,63
2024-02-21,57
2024-02-22,55
2024-02-23,43
2024-02-24,23
2024-02-25,24
2024-02-26,63
2024-02-27,63
2024-02-28,59
2024-02-29,61
2024-03-01,45
2024-03-02,20
2024-03-03,30
2024-03-04,47
2024-03-05,56
2024-03-06,49
2024-03-07,45
2024-03-08,37
2024-03-09,20
2024-03-10,22
2024-03-11,51
2024-03-12,51
2024-03-13,47
