Date,Pageviews
2024-01-14,17
2024-01-15,44
2024-01-16,46
2024-01-17,84
2024-01-18,49
2024-01-19,52
2024-01-20,22
2024-01-21,38
2024-01-22,57
2024-01-23,72
2024-01-24,79
2024-01-25,63
2024-01-26,60
2024-01-27,26
2024-01-28,16
2024-01-29,52
2024-01-30,75
2024-01-31,85
2024-02-01,55
2024-02-02,44
2024-02-03,29
2024-02-04,25
2024-02-05,45
2024-02-06,52
2024-02-07,56
2024-02-08,59
2024-02-09,44
2024-02-10,20
2024-02-11,17
2024-02-12,57
2024-02-13,59
2024-02-14,44
2024-02-15,52
2024-02-16,54
2024-02-17,15
2024-02-18,18
2024-02-19,53
2024-02-20,45
2024-02-21,46
2024-02-22,54
2024-02-23,47
2024-02-24,22
2024-02-25,25
2024-02-26,48
2024-02-27,88
2024-02-28,66
2024-02-29,66
2024-03-01,45
2024-03-02,25
2024-03-03,22
2024-03-04,65
2024-03-05,66
2024-03-06,48
2024-03-07,59
2024-03-08,29
2024-03-09,16
2024-03-10,27
2024-03-11,41
2024-03-12,77
2024-03-13,
