Date,Pageviews
2024-01-14,86
2024-01-15,89
2024-01-16,104
2024-01-17,94
2024-01-18,116
2024-01-19,72
2024-01-20,83
2024-01-21,94
2024-01-22,98
2024-01-23,96
2024-01-24,98
2024-01-25,88
2024-01-26,73
2024-01-27,84
2024-01-28,84
2024-01-29,87
2024-01-30,87
2024-01-31,80
2024-02-01,64
2024-02-02,73
2024-02-03,63
2024-02-04,83
2024-02-05,98
2024-02-06,104
2024-02-07,84
2024-02-08,92
2024-02-09,72
2024-02-10,91
2024-02-11,60
2024-02-12,83
2024-02-13,82
2024-02-14,76
2024-02-15,83
2024-02-16,73
2024-02-17,86
2024-02-18,76
2024-02-19,89
2024-02-20,89
2024-02-21,66
2024-02-22,98
2024-02-23,106
2024-02-24,78
2024-02-25,87
2024-02-26,93
2024-02-27,89
2024-02-28,92
2024-02-29,72
2024-03-01,87
2024-03-02,94
2024-03-03,99
2024-03-04,133
2024-03-05,173
2024-03-06,81
2024-03-07,87
2024-03-08,73
2024-03-09,94
2024-03-10,91
2024-03-11,98
2024-03-12,89
2024-03-13,80
