Date,Pageviews
2024-01-14,41
2024-01-15,56
2024-01-16,73
2024-01-17,79
2024-01-18,63
2024-01-19,68
2024-01-20,32
2024-01-21,35
2024-01-22,76
2024-01-23,84
2024-01-24,87
2024-01-25,83
2024-01-26,67
2024-01-27,31
2024-01-28,47
2024-01-29,85
2024-01-30,74
2024-01-31,84
2024-02-01,53
2024-02-02,52
2024-02-03,35
2024-02-04,25
2024-02-05,66
2024-02-06,70
2024-02-07,64
2024-02-08,55
2024-02-09,76
2024-02-10,23
2024-02-11,32
2024-02-12,61
2024-02-13,70
2024-02-14,68
2024-02-15,59
2024-02-16,48
2024-02-17,38
2024-02-18,44
2024-02-19,59
2024-02-20,67
2024-02-21,91
2024-02-22,85
2024-02-23,82
2024-02-24,51
2024-02-25,32
2024-02-26,69
2024-02-27,93
2024-02-28,77
2024-02-29,67
2024-03-01,77
2024-03-02,39
2024-03-03,42
2024-03-04,71
2024-03-05,59
2024-03-06,66
2024-03-07,56
2024-03-08,66
2024-03-09,46
2024-03-10,33
2024-03-11,72
2024-03-12,74
2024-03-13,81
