Date,Pageviews
2024-01-14,2350
2024-01-15,2533
2024-01-16,3803
2024-01-17,4159
2024-01-18,3340
2024-01-19,3562
2024-01-20,3793
2024-01-21,5590
2024-01-22,3642
2024-01-23,2879
2024-01-24,2956
2024-01-25,2731
2024-01-26,2285
2024-01-27,2330
2024-01-28,2176
2024-01-29,2364
2024-01-30,2567
2024-01-31,2253
2024-02-01,1996
2024-02-02,1789
2024-02-03,1640
2024-02-04,1770
2024-02-05,1929
2024-02-06,1828
2024-02-07,1660
2024-02-08,1810
2024-02-09,1654
2024-02-10,1447
2024-02-11,1519
2024-02-12,1699
2024-02-13,2195
2024-02-14,1861
2024-02-15,1530
2024-02-16,1510
2024-02-17,1551
2024-02-18,1570
2024-02-19,1715
2024-02-20,1763
2024-02-21,1705
2024-02-22,1599
2024-02-23,1554
2024-02-24,1323
2024-02-25,1513
2024-02-26,1735
2024-02-27,1455
2024-02-28,1688
2024-02-29,1549
2024-03-01,1504
2024-03-02,1414
2024-03-03,1501
2024-03-04,2567
2024-03-05,2142
2024-03-06,1745
2024-03-07,1577
2024-03-08,1520
2024-03-09,1439
2024-03-10,1632
2024-03-11,1733
2024-03-12,1972
2024-03-13,1893
