Date,Pageviews
2024-01-14,73
2024-01-15,78
2024-01-16,121
2024-01-17,127
2024-01-18,131
2024-01-19,89
2024-01-20,65
2024-01-21,65
2024-01-22,118
2024-01-23,111
2024-01-24,107
2024-01-25,120
2024-01-26,99
2024-01-27,60
2024-01-28,54
2024-01-29,105
2024-01-30,149
2024-01-31,125
2024-02-01,123
2024-02-02,88
2024-02-03,84
2024-02-04,55
2024-02-05,100
2024-02-06,90
2024-02-07,89
2024-02-08,100
2024-02-09,97
2024-02-10,65
2024-02-11,77
2024-02-12,84
2024-02-13,85
2024-02-14,114
2024-02-15,129
2024-02-16,96
2024-02-17,45
2024-02-18,59
2024-02-19,103
2024-02-20,100
2024-02-21,105
2024-02-22,85
2024-02-23,93
2024-02-24,66
2024-02-25,64
2024-02-26,123
2024-02-27,101
2024-02-28,114
2024-02-29,98
2024-03-01,87
2024-03-02,55
2024-03-03,46
2024-03-04,106
2024-03-05,83
2024-03-06,107
2024-03-07,131
2024-03-08,117
2024-03-09,72
2024-03-10,49
2024-03-11,116
2024-03-12,99
2024-03-13,106
