Date,Pageviews
2024-01-14,21
2024-01-15,43
2024-01-16,42
2024-01-17,43
2024-01-18,53
2024-01-19,53
2024-01-20,26
2024-01-21,32
2024-01-22,38
2024-01-23,51
2024-01-24,61
2024-01-25,49
2024-01-26,42
2024-01-27,32
2024-01-28,21
2024-01-29,39
2024-01-30,60
2024-01-31,40
2024-02-01,37
2024-02-02,32
2024-02-03,26
2024-02-04,32
2024-02-05,38
2024-02-06,45
2024-02-07,48
2024-02-08,50
2024-02-09,56
2024-02-10,22
2024-02-11,19
2024-02-12,51
2024-02-13,70
2024-02-14,53
2024-02-15,57
2024-02-16,42
2024-02-17,42
2024-02-18,22
2024-02-19,38
2024-02-20,75
2024-02-21,45
2024-02-22,61
2024-02-23,50
2024-02-24,23
2024-02-25,37
2024-02-26,54
2024-02-27,47
2024-02-28,61
2024-02-29,44
2024-03-01,62
2024-03-02,24
2024-03-03,33
2024-03-04,52
2024-03-05,44
2024-03-06,55
2024-03-07,49
2024-03-08,43
2024-03-09,34
2024-03-10,33
2024-03-11,38
2024-03-12,47
2024-03-13,43
