Date,Pageviews
2024-01-14,3212
2024-01-15,2648
2024-01-16,2179
2024-01-17,1901
2024-01-18,2089
2024-01-19,2125
2024-01-20,2737
2024-01-21,2716
2024-01-22,2155
2024-01-23,2157
2024-01-24,2848
2024-01-25,2512
2024-01-26,2593
2024-01-27,3104
2024-01-28,3321
2024-01-29,2171
2024-01-30,1923
2024-01-31,1753
2024-02-01,1747
2024-02-02,1880
2024-02-03,2265
2024-02-04,2383
2024-02-05,1945
2024-02-06,1635
2024-02-07,1672
2024-02-08,1576
2024-02-09,1560
2024-02-10,1838
2024-02-11,1927
2024-02-12,1388
2024-02-13,1472
2024-02-14,1535
2024-02-15,1501
2024-02-16,1525
2024-02-17,1757
2024-02-18,2434
2024-02-19,1697
2024-02-20,1434
2024-02-21,1477
2024-02-22,1471
2024-02-23,1396
2024-02-24,1725
2024-02-25,1694
2024-02-26,1472
2024-02-27,1349
2024-02-28,1376
2024-02-29,1334
2024-03-01,1388
2024-03-02,1758
2024-03-03,1768
2024-03-04,1513
2024-03-05,1244
2024-03-06,1402
2024-03-07,1445
2024-03-08,1418
2024-03-09,1943
2024-03-10,2194
2024-03-11,2730
2024-03-12,2151
2024-03-13,2043
