Date,Pageviews
2024-01-14,60
2024-01-15,80
2024-01-16,89
2024-01-17,72
2024-01-18,97
2024-01-19,64
2024-01-20,79
2024-01-21,116
2024-01-22,116
2024-01-23,103
2024-01-24,75
2024-01-25,106
2024-01-26,88
2024-01-27,88
2024-01-28,81
2024-01-29,90
2024-01-30,83
2024-01-31,107
2024-02-01,96
2024-02-02,86
2024-02-03,90
2024-02-04,88
2024-02-05,94
2024-02-06,98
2024-02-07,120
2024-02-08,92
2024-02-09,94
2024-02-10,82
2024-02-11,84
2024-02-12,84
2024-02-13,71
2024-02-14,72
2024-02-15,76
2024-02-16,65
2024-02-17,91
2024-02-18,119
2024-02-19,82
2024-02-20,76
2024-02-21,91
2024-02-22,92
2024-02-23,87
2024-02-24,67
2024-02-25,81
2024-02-26,71
2024-02-27,75
2024-02-28,101
2024-02-29,95
2024-03-01,80
2024-03-02,83
2024-03-03,80
2024-03-04,115
2024-03-05,89
2024-03-06,106
2024-03-07,105
2024-03-08,100
2024-03-09,88
2024-03-10,88
2024-03-11,98
2024-03-12,129
2024-03-13,92
