Date,Pageviews
2024-01-14,1023
2024-01-15,1096
2024-01-16,1073
2024-01-17,1096
2024-01-18,1149
2024-01-19,791
2024-01-20,1061
2024-01-21,907
2024-01-22,907
2024-01-23,984
2024-01-24,981
2024-01-25,969
2024-01-26,986
2024-01-27,936
2024-01-28,932
2024-01-29,833
2024-01-30,958
2024-01-31,801
2024-02-01,794
2024-02-02,882
2024-02-03,819
2024-02-04,821
2024-02-05,721
2024-02-06,661
2024-02-07,742
2024-02-08,764
2024-02-09,653
2024-02-10,465
2024-02-11,526
2024-02-12,558
2024-02-13,570
2024-02-14,580
2024-02-15,587
2024-02-16,735
2024-02-17,563
2024-02-18,499
2024-02-19,400
2024-02-20,398
2024-02-21,458
2024-02-22,391
2024-02-23,420
2024-02-24,386
2024-02-25,287
2024-02-26,395
2024-02-27,386
2024-02-28,440
2024-02-29,436
2024-03-01,384
2024-03-02,419
2024-03-03,471
2024-03-04,427
2024-03-05,499
2024-03-06,450
2024-03-07,489
2024-03-08,466
2024-03-09,406
2024-03-10,386
2024-03-11,466
2024-03-12,493
2024-03-13,441
