Date,Pageviews
2024-01-14,80
2024-01-15,80
2024-01-16,112
2024-01-17,100
2024-01-18,150
2024-01-19,113
2024-01-20,105
2024-01-21,68
2024-01-22,95
2024-01-23,116
2024-01-24,68
2024-01-25,84
2024-01-26,83
2024-01-27,64
2024-01-28,65
2024-01-29,132
2024-01-30,105
2024-01-31,132
2024-02-01,110
2024-02-02,86
2024-02-03,62
2024-02-04,69
2024-02-05,83
2024-02-06,99
2024-02-07,100
2024-02-08,100
2024-02-09,85
2024-02-10,50
2024-02-11,65
2024-02-12,69
2024-02-13,86
2024-02-14,113
2024-02-15,80
2024-02-16,80
2024-02-17,58
2024-02-18,78
2024-02-19,99
2024-02-20,83
2024-02-21,70
2024-02-22,121
2024-02-23,52
2024-02-24,76
2024-02-25,57
2024-02-26,101
2024-02-27,84
2024-02-28,79
2024-02-29,96
2024-03-01,78
2024-03-02,63
2024-03-03,67
2024-03-04,95
2024-03-05,103
2024-03-06,91
2024-03-07,98
2024-03-08,58
2024-03-09,72
2024-03-10,70
2024-03-11,75
2024-03-12,113
2024-03-13,121
