Date,Pageviews
2024-01-14,27
2024-01-15,41
2024-01-16,52
2024-01-17,113
2024-01-18,66
2024-01-19,67
2024-01-20,41
2024-01-21,40
2024-01-22,51
2024-01-23,69
2024-01-24,77
2024-01-25,62
2024-01-26,47
2024-01-27,28
2024-01-28,28
2024-01-29,41
2024-01-30,54
2024-01-31,58
2024-02-01,62
2024-02-02,70
2024-02-03,37
2024-02-04,24
2024-02-05,53
2024-02-06,60
2024-02-07,53
2024-02-08,47
2024-02-09,46
2024-02-10,36
2024-02-11,30
2024-02-12,38
2024-02-13,54
2024-02-14,45
2024-02-15,36
2024-02-16,44
2024-02-17,36
2024-02-18,28
2024-02-19,47
2024-02-20,51
2024-02-21,52
2024-02-22,49
2024-02-23,47
2024-02-24,27
2024-02-25,26
2024-02-26,55
2024-02-27,70
2024-02-28,42
2024-02-29,51
2024-03-01,61
2024-03-02,35
2024-03-03,25
2024-03-04,68
2024-03-05,69
2024-03-06,49
2024-03-07,52
2024-03-08,52
2024-03-09,35
2024-03-10,48
2024-03-11,44
2024-03-12,47
2024-03-13,57
