Date,Pageviews
2024-01-14,2
2024-01-15,3
2024-01-16,5
2024-01-17,2
2024-01-18,9
2024-01-19,3
2024-01-20,2
2024-01-21,2
2024-01-22,2
2024-01-23,2
2024-01-24,1
2024-01-25,9
2024-01-26,7
2024-01-27,5
2024-01-28,6
2024-01-29,5
2024-01-30,6
2024-01-31,3
2024-02-01,2
2024-02-02,3
2024-02-03,5
2024-02-04,9
2024-02-05,8
2024-02-06,12
2024-02-07,3
2024-02-08,6
2024-02-09,16
2024-02-10,1
2024-02-11,7
2024-02-12,4
2024-02-13,8
2024-02-14,6
2024-02-15,7
2024-02-16,7
2024-02-17,2
2024-02-18,1
2024-02-19,5
2024-02-20,2
2024-02-21,2
2024-02-22,7
2024-02-23,4
2024-02-24,4
2024-02-25,0
2024-02-26,5
2024-02-27,0
2024-02-28,3
2024-02-29,5
2024-03-01,6
2024-03-02,2
2024-03-03,1
2024-03-04,5
2024-03-05,2
2024-03-06,4
2024-03-07,4
2024-03-08,4
2024-03-09,1
2024-03-10,3
2024-03-11,1
2024-03-12,0
2024-03-13,4
