Date,Pageviews
2024-01-14,83
2024-01-15,79
2024-01-16,99
2024-01-17,90
2024-01-18,84
2024-01-19,72
2024-01-20,65
2024-01-21,76
2024-01-22,90
2024-01-23,75
2024-01-24,81
2024-01-25,59
2024-01-26,97
2024-01-27,75
2024-01-28,90
2024-01-29,72
2024-01-30,75
2024-01-31,65
2024-02-01,67
2024-02-02,70
2024-02-03,71
2024-02-04,77
2024-02-05,87
2024-02-06,80
2024-02-07,89
2024-02-08,63
2024-02-09,59
2024-02-10,76
2024-02-11,63
2024-02-12,59
2024-02-13,71
2024-02-14,76
2024-02-15,59
2024-02-16,71
2024-02-17,75
2024-02-18,79
2024-02-19,78
2024-02-20,87
2024-02-21,65
2024-02-22,72
2024-02-23,89
2024-02-24,85
2024-02-25,87
2024-02-26,96
2024-02-27,65
2024-02-28,82
2024-02-29,69
2024-03-01,81
2024-03-02,79
2024-03-03,100
2024-03-04,90
2024-03-05,63
2024-03-06,64
2024-03-07,68
2024-03-08,87
2024-03-09,80
2024-03-10,62
2024-03-11,70
2024-03-12,88
2024-03-13,79
