Date,Pageviews
2024-01-14,32
2024-01-15,50
2024-01-16,58
2024-01-17,56
2024-01-18,58
2024-01-19,63
2024-01-20,27
2024-01-21,29
2024-01-22,49
2024-01-23,78
2024-01-24,56
2024-01-25,57
2024-01-26,47
2024-01-27,34
2024-01-28,33
2024-01-29,53
2024-01-30,50
2024-01-31,63
2024-02-01,56
2024-02-02,61
2024-02-03,45
2024-02-04,38
2024-02-05,64
2024-02-06,60
2024-02-07,61
2024-02-08,62
2024-02-09,58
2024-02-10,31
2024-02-11,34
2024-02-12,48
2024-02-13,45
2024-02-14,46
2024-02-15,68
2024-02-16,54
2024-02-17,39
2024-02-18,42
2024-02-19,51
2024-02-20,53
2024-02-21,57
2024-02-22,62
2024-02-23,72
2024-02-24,40
2024-02-25,54
2024-02-26,62
2024-02-27,60
2024-02-28,58
2024-02-29,69
2024-03-01,82
2024-03-02,44
2024-03-03,46
2024-03-04,79
2024-03-05,66
2024-03-06,67
2024-03-07,82
2024-03-08,50
2024-03-09,46
2024-03-10,74
2024-03-11,65
2024-03-12,70
2024-03-13,68
