Date,Pageviews
2024-01-14,28
2024-01-15,41
2024-01-16,55
2024-01-17,64
2024-01-18,55
2024-01-19,55
2024-01-20,35
2024-01-21,32
2024-01-22,46
2024-01-23,75
2024-01-24,53
2024-01-25,71
2024-01-26,49
2024-01-27,55
2024-01-28,23
2024-01-29,56
2024-01-30,59
2024-01-31,57
2024-02-01,44
2024-02-02,39
2024-02-03,30
2024-02-04,24
2024-02-05,38
2024-02-06,55
2024-02-07,54
2024-02-08,46
2024-02-09,46
2024-02-10,33
2024-02-11,23
2024-02-12,31
2024-02-13,50
2024-02-14,62
2024-02-15,37
2024-02-16,39
2024-02-17,19
2024-02-18,21
2024-02-19,51
2024-02-20,42
2024-02-21,53
2024-02-22,54
2024-02-23,55
2024-02-24,30
2024-02-25,29
2024-02-26,47
2024-02-27,67
2024-02-28,56
2024-02-29,50
2024-03-01,44
2024-03-02,29
2024-03-03,19
2024-03-04,43
2024-03-05,40
2024-03-06,61
2024-03-07,31
2024-03-08,37
2024-03-09,26
2024-03-10,32
2024-03-11,48
2024-03-12,61
2024-03-13,
