Date,Pageviews
2024-01-14,57
2024-01-15,66
2024-01-16,75
2024-01-17,76
2024-01-18,82
2024-01-19,87
2024-01-20,46
2024-01-21,54
2024-01-22,77
2024-01-23,92
2024-01-24,114
2024-01-25,87
2024-01-26,88
2024-01-27,43
2024-01-28,59
2024-01-29,58
2024-01-30,79
2024-01-31,84
2024-02-01,105
2024-02-02,88
2024-02-03,45
2024-02-04,67
2024-02-05,91
2024-02-06,82
2024-02-07,57
2024-02-08,73
2024-02-09,69
2024-02-10,64
2024-02-11,50
2024-02-12,44
2024-02-13,54
2024-02-14,55
2024-02-15,83
2024-02-16,70
2024-02-17,44
2024-02-18,42
2024-02-19,63
2024-02-20,68
2024-02-21,68
2024-02-22,73
2024-02-23,70
2024-02-24,45
2024-02-25,53
2024-02-26,78
2024-02-27,76
2024-02-28,71
2024-02-29,63
2024-03-01,50
2024-03-02,34
2024-03-03,238
2024-03-04,74
2024-03-05,93
2024-03-06,102
2024-03-07,92
2024-03-08,94
2024-03-09,48
2024-03-10,62
2024-03-11,90
2024-03-12,101
2024-03-13,
