Date,Pageviews
2024-01-14,67
2024-01-15,118
2024-01-16,109
2024-01-17,105
2024-01-18,122
2024-01-19,107
2024-01-20,67
2024-01-21,64
2024-01-22,91
2024-01-23,99
2024-01-24,125
2024-01-25,107
2024-01-26,83
2024-01-27,44
2024-01-28,76
2024-01-29,118
2024-01-30,137
2024-01-31,118
2024-02-01,110
2024-02-02,103
2024-02-03,46
2024-02-04,60
2024-02-05,73
2024-02-06,102
2024-02-07,110
2024-02-08,85
2024-02-09,55
2024-02-10,51
2024-02-11,62
2024-02-12,94
2024-02-13,76
2024-02-14,112
2024-02-15,121
2024-02-16,80
2024-02-17,43
2024-02-18,39
2024-02-19,71
2024-02-20,81
2024-02-21,86
2024-02-22,97
2024-02-23,70
2024-02-24,34
2024-02-25,61
2024-02-26,90
2024-02-27,113
2024-02-28,84
2024-02-29,88
2024-03-01,76
2024-03-02,67
2024-03-03,67
2024-03-04,98
2024-03-05,100
2024-03-06,103
2024-03-07,117
2024-03-08,84
2024-03-09,46
2024-03-10,73
2024-03-11,67
2024-03-12,109
2024-03-13,100
