Date,Pageviews
2024-01-14,2246
2024-01-15,2737
2024-01-16,2684
2024-01-17,2600
2024-01-18,2742
2024-01-19,2661
2024-01-20,2437
2024-01-21,2332
2024-01-22,2412
2024-01-23,2231
2024-01-24,2276
2024-01-25,2477
2024-01-26,2683
2024-01-27,2092
2024-01-28,1910
2024-01-29,2550
2024-01-30,2290
2024-01-31,2269
2024-02-01,2143
2024-02-02,2086
2024-02-03,1829
2024-02-04,1828
2024-02-05,2024
2024-02-06,2062
2024-02-07,2025
2024-02-08,2075
2024-02-09,1833
2024-02-10,1791
2024-02-11,1762
2024-02-12,1936
2024-02-13,1968
2024-02-14,2032
2024-02-15,2040
2024-02-16,1984
2024-02-17,2211
2024-02-18,2149
2024-02-19,2507
2024-02-20,2534
2024-02-21,2289
2024-02-22,2445
2024-02-23,2139
2024-02-24,2349
2024-02-25,2344
2024-02-26,2576
2024-02-27,2572
2024-02-28,2337
2024-02-29,2461
2024-03-01,2365
2024-03-02,2307
2024-03-03,2122
2024-03-04,2649
2024-03-05,2464
2024-03-06,2543
2024-03-07,2429
2024-03-08,2537
2024-03-09,2786
2024-03-10,2756
2024-03-11,2971
2024-03-12,3485
2024-03-13,3114
