Date,Pageviews
2024-01-14,55
2024-01-15,73
2024-01-16,77
2024-01-17,87
2024-01-18,71
2024-01-19,68
2024-01-20,66
2024-01-21,72
2024-01-22,71
2024-01-23,86
2024-01-24,85
2024-01-25,83
2024-01-26,72
2024-01-27,69
2024-01-28,83
2024-01-29,67
2024-01-30,92
2024-01-31,92
2024-02-01,87
2024-02-02,82
2024-02-03,76
2024-02-04,79
2024-02-05,80
2024-02-06,109
2024-02-07,80
2024-02-08,74
2024-02-09,67
2024-02-10,57
2024-02-11,83
2024-02-12,82
2024-02-13,82
2024-02-14,73
2024-02-15,91
2024-02-16,98
2024-02-17,69
2024-02-18,83
2024-02-19,79
2024-02-20,164
2024-02-21,244
2024-02-22,132
2024-02-23,82
2024-02-24,89
2024-02-25,116
2024-02-26,135
2024-02-27,116
2024-02-28,120
2024-02-29,101
2024-03-01,74
2024-03-02,81
2024-03-03,83
2024-03-04,106
2024-03-05,85
2024-03-06,112
2024-03-07,97
2024-03-08,72
2024-03-09,84
2024-03-10,77
2024-03-11,118
2024-03-12,84
2024-03-13,108
