Date,Pageviews
2024-01-14,75
2024-01-15,94
2024-01-16,79
2024-01-17,106
2024-01-18,112
2024-01-19,96
2024-01-20,83
2024-01-21,95
2024-01-22,130
2024-01-23,145
2024-01-24,102
2024-01-25,137
2024-01-26,121
2024-01-27,83
2024-01-28,62
2024-01-29,109
2024-01-30,114
2024-01-31,106
2024-02-01,79
2024-02-02,85
2024-02-03,91
2024-02-04,87
2024-02-05,85
2024-02-06,81
2024-02-07,83
2024-02-08,84
2024-02-09,73
2024-02-10,79
2024-02-11,73
2024-02-12,82
2024-02-13,84
2024-02-14,98
2024-02-15,90
2024-02-16,141
2024-02-17,88
2024-02-18,84
2024-02-19,104
2024-02-20,86
2024-02-21,126
2024-02-22,92
2024-02-23,80
2024-02-24,88
2024-02-25,85
2024-02-26,104
2024-02-27,102
2024-02-28,106
2024-02-29,91
2024-03-01,108
2024-03-02,75
2024-03-03,61
2024-03-04,87
2024-03-05,95
2024-03-06,93
2024-03-07,120
2024-03-08,79
2024-03-09,102
2024-03-10,111
2024-03-11,99
2024-03-12,99
2024-03-13,104
