Date,Pageviews
2024-01-14,115
2024-01-15,91
2024-01-16,75
2024-01-17,61
2024-01-18,72
2024-01-19,59
2024-01-20,29
2024-01-21,29
2024-01-22,42
2024-01-23,62
2024-01-24,36
2024-01-25,55
2024-01-26,51
2024-01-27,44
2024-01-28,18
2024-01-29,45
2024-01-30,59
2024-01-31,54
2024-02-01,45
2024-02-02,54
2024-02-03,29
2024-02-04,24
2024-02-05,67
2024-02-06,35
2024-02-07,63
2024-02-08,51
2024-02-09,43
2024-02-10,23
2024-02-11,29
2024-02-12,54
2024-02-13,58
2024-02-14,46
2024-02-15,60
2024-02-16,31
2024-02-17,25
2024-02-18,44
2024-02-19,36
2024-02-20,39
2024-02-21,51
2024-02-22,63
2024-02-23,59
2024-02-24,36
2024-02-25,35
2024-02-26,60
2024-02-27,67
2024-02-28,60
2024-02-29,49
2024-03-01,45
2024-03-02,73
2024-03-03,97
2024-03-04,85
2024-03-05,113
2024-03-06,60
2024-03-07,112
2024-03-08,76
2024-03-09,30
2024-03-10,37
2024-03-11,87
2024-03-12,65
2024-03-13,
