Date,Pageviews
2024-01-14,34
2024-01-15,51
2024-01-16,60
2024-01-17,46
2024-01-18,78
2024-01-19,62
2024-01-20,38
2024-01-21,32
2024-01-22,55
2024-01-23,54
2024-01-24,56
2024-01-25,54
2024-01-26,65
2024-01-27,51
2024-01-28,56
2024-01-29,55
2024-01-30,59
2024-01-31,54
2024-02-01,54
2024-02-02,32
2024-02-03,32
2024-02-04,36
2024-02-05,49
2024-02-06,45
2024-02-07,60
2024-02-08,67
2024-02-09,59
2024-02-10,38
2024-02-11,24
2024-02-12,40
2024-02-13,57
2024-02-14,48
2024-02-15,43
2024-02-16,55
2024-02-17,27
2024-02-18,43
2024-02-19,57
2024-02-20,31
2024-02-21,40
2024-02-22,50
2024-02-23,60
2024-02-24,27
2024-02-25,34
2024-02-26,55
2024-02-27,71
2024-02-28,43
2024-02-29,55
2024-03-01,68
2024-03-02,38
2024-03-03,34
2024-03-04,41
2024-03-05,53
2024-03-06,51
2024-03-07,63
2024-03-08,63
2024-03-09,50
2024-03-10,45
2024-03-11,58
2024-03-12,53
2024-03-13,62
