Date,Pageviews
2024-01-14,25
2024-01-15,47
2024-01-16,53
2024-01-17,65
2024-01-18,59
2024-01-19,59
2024-01-20,32
2024-01-21,39
2024-01-22,69
2024-01-23,52
2024-01-24,73
2024-01-25,61
2024-01-26,48
2024-01-27,32
2024-01-28,27
2024-01-29,60
2024-01-30,65
2024-01-31,56
2024-02-01,75
2024-02-02,76
2024-02-03,22
2024-02-04,26
2024-02-05,73
2024-02-06,58
2024-02-07,82
2024-02-08,60
2024-02-09,63
2024-02-10,21
2024-02-11,18
2024-02-12,52
2024-02-13,56
2024-02-14,46
2024-02-15,43
2024-02-16,43
2024-02-17,31
2024-02-18,31
2024-02-19,49
2024-02-20,58
2024-02-21,41
2024-02-22,43
2024-02-23,34
2024-02-24,29
2024-02-25,38
2024-02-26,93
2024-02-27,54
2024-02-28,60
2024-02-29,52
2024-03-01,49
2024-03-02,21
2024-03-03,29
2024-03-04,53
2024-03-05,64
2024-03-06,64
2024-03-07,52
2024-03-08,51
2024-03-09,26
2024-03-10,26
2024-03-11,47
2024-03-12,62
2024-03-13,
