Date,Pageviews
2024-01-14,87
2024-01-15,116
2024-01-16,101
2024-01-17,84
2024-01-18,130
2024-01-19,92
2024-01-20,71
2024-01-21,76
2024-01-22,70
2024-01-23,88
2024-01-24,65
2024-01-25,88
2024-01-26,52
2024-01-27,80
2024-01-28,61
2024-01-29,78
2024-01-30,80
2024-01-31,78
2024-02-01,94
2024-02-02,83
2024-02-03,75
2024-02-04,85
2024-02-05,87
2024-02-06,77
2024-02-07,96
2024-02-08,90
2024-02-09,89
2024-02-10,74
2024-02-11,61
2024-02-12,77
2024-02-13,88
2024-02-14,89
2024-02-15,90
2024-02-16,79
2024-02-17,66
2024-02-18,79
2024-02-19,76
2024-02-20,87
2024-02-21,96
2024-02-22,92
2024-02-23,103
2024-02-24,75
2024-02-25,70
2024-02-26,325
2024-02-27,95
2024-02-28,98
2024-02-29,88
2024-03-01,92
2024-03-02,74
2024-03-03,86
2024-03-04,65
2024-03-05,79
2024-03-06,94
2024-03-07,78
2024-03-08,59
2024-03-09,67
2024-03-10,53
2024-03-11,66
2024-03-12,79
2024-03-13,87
