Date,Pageviews
2024-01-14,70
2024-01-15,65
2024-01-16,75
2024-01-17,91
2024-01-18,65
2024-01-19,80
2024-01-20,74
2024-01-21,68
2024-01-22,67
2024-01-23,60
2024-01-24,64
2024-01-25,90
2024-01-26,86
2024-01-27,60
2024-01-28,56
2024-01-29,67
2024-01-30,50
2024-01-31,71
2024-02-01,69
2024-02-02,74
2024-02-03,62
2024-02-04,51
2024-02-05,54
2024-02-06,66
2024-02-07,58
2024-02-08,57
2024-02-09,69
2024-02-10,61
2024-02-11,57
2024-02-12,65
2024-02-13,38
2024-02-14,51
2024-02-15,63
2024-02-16,61
2024-02-17,55
2024-02-18,55
2024-02-19,49
2024-02-20,75
2024-02-21,86
2024-02-22,60
2024-02-23,68
2024-02-24,67
2024-02-25,77
2024-02-26,67
2024-02-27,51
2024-02-28,71
2024-02-29,68
2024-03-01,57
2024-03-02,74
2024-03-03,53
2024-03-04,81
2024-03-05,70
2024-03-06,61
2024-03-07,85
2024-03-08,64
2024-03-09,73
2024-03-10,122
2024-03-11,49
2024-03-12,85
2024-03-13,
