Date,Pageviews
2024-01-14,101
2024-01-15,97
2024-01-16,105
2024-01-17,114
2024-01-18,103
2024-01-19,126
2024-01-20,102
2024-01-21,97
2024-01-22,103
2024-01-23,94
2024-01-24,133
2024-01-25,100
2024-01-26,106
2024-01-27,102
2024-01-28,99
2024-01-29,113
2024-01-30,105
2024-01-31,115
2024-02-01,99
2024-02-02,93
2024-02-03,99
2024-02-04,102
2024-02-05,113
2024-02-06,96
2024-02-07,103
2024-02-08,98
2024-02-09,116
2024-02-10,84
2024-02-11,68
2024-02-12,96
2024-02-13,57
2024-02-14,80
2024-02-15,70
2024-02-16,90
2024-02-17,61
2024-02-18,80
2024-02-19,53
2024-02-20,85
2024-02-21,107
2024-02-22,86
2024-02-23,93
2024-02-24,73
2024-02-25,108
2024-02-26,108
2024-02-27,107
2024-02-28,112
2024-02-29,109
2024-03-01,103
2024-03-02,96
2024-03-03,89
2024-03-04,118
2024-03-05,182
2024-03-06,114
2024-03-07,160
2024-03-08,110
2024-03-09,82
2024-03-10,94
2024-03-11,91
2024-03-12,116
2024-03-13,125
