Date,Pageviews
2024-01-14,35
2024-01-15,73
2024-01-16,64
2024-01-17,75
2024-01-18,64
2024-01-19,76
2024-01-20,46
2024-01-21,58
2024-01-22,85
2024-01-23,72
2024-01-24,78
2024-01-25,88
2024-01-26,77
2024-01-27,39
2024-01-28,44
2024-01-29,93
2024-01-30,76
2024-01-31,67
2024-02-01,82
2024-02-02,75
2024-02-03,45
2024-02-04,51
2024-02-05,79
2024-02-06,87
2024-02-07,91
2024-02-08,75
2024-02-09,57
2024-02-10,32
2024-02-11,53
2024-02-12,64
2024-02-13,77
2024-02-14,60
2024-02-15,89
2024-02-16,87
2024-02-17,67
2024-02-18,55
2024-02-19,81
2024-02-20,80
2024-02-21,77
2024-02-22,76
2024-02-23,68
2024-02-24,46
2024-02-25,44
2024-02-26,88
2024-02-27,103
2024-02-28,64
2024-02-29,77
2024-03-01,58
2024-03-02,45
2024-03-03,68
2024-03-04,70
2024-03-05,98
2024-03-06,52
2024-03-07,79
2024-03-08,65
2024-03-09,48
2024-03-10,43
2024-03-11,89
2024-03-12,75
2024-03-13,72
