Date,Pageviews
2024-01-14,70
2024-01-15,53
2024-01-16,60
2024-01-17,56
2024-01-18,61
2024-01-19,58
2024-01-20,26
2024-01-21,32
2024-01-22,98
2024-01-23,67
2024-01-24,86
2024-01-25,70
2024-01-26,38
2024-01-27,44
2024-01-28,26
2024-01-29,62
2024-01-30,76
2024-01-31,63
2024-02-01,64
2024-02-02,54
2024-02-03,48
2024-02-04,30
2024-02-05,43
2024-02-06,57
2024-02-07,61
2024-02-08,61
2024-02-09,43
2024-02-10,22
2024-02-11,34
2024-02-12,52
2024-02-13,59
2024-02-14,55
2024-02-15,56
2024-02-16,36
2024-02-17,35
2024-02-18,27
2024-02-19,52
2024-02-20,57
2024-02-21,57
2024-02-22,51
2024-02-23,50
2024-02-24,26
2024-02-25,40
2024-02-26,79
2024-02-27,53
2024-02-28,55
2024-02-29,43
2024-03-01,69
2024-03-02,33
2024-03-03,40
2024-03-04,70
2024-03-05,63
2024-03-06,65
2024-03-07,62
2024-03-08,61
2024-03-09,29
2024-03-10,32
2024-03-11,84
2024-03-12,81
2024-03-13,80
