Date,Pageviews
2024-01-14,7808
2024-01-15,7174
2024-01-16,8037
2024-01-17,7022
2024-01-18,6396
2024-01-19,6747
2024-01-20,7534
2024-01-21,7577
2024-01-22,6617
2024-01-23,15904
2024-01-24,15139
2024-01-25,13967
2024-01-26,16397
2024-01-27,39140
2024-01-28,37041
2024-01-29,21166
2024-01-30,17115
2024-01-31,13151
2024-02-01,11338
2024-02-02,11812
2024-02-03,14864
2024-02-04,11678
2024-02-05,10492
2024-02-06,10451
2024-02-07,9284
2024-02-08,9078
2024-02-09,13128
2024-02-10,12463
2024-02-11,12071
2024-02-12,9249
2024-02-13,9123
2024-02-14,8389
2024-02-15,7647
2024-02-16,7526
2024-02-17,9770
2024-02-18,9113
2024-02-19,8719
2024-02-20,9510
2024-02-21,7568
2024-02-22,7236
2024-02-23,8149
2024-02-24,12518
2024-02-25,9181
2024-02-26,7949
2024-02-27,7571
2024-02-28,7797
2024-02-29,7557
2024-03-01,7001
2024-03-02,8645
2024-03-03,7810
2024-03-04,7559
2024-03-05,7472
2024-03-06,7440
2024-03-07,7303
2024-03-08,7109
2024-03-09,9410
2024-03-10,8288
2024-03-11,8536
2024-03-12,9345
2024-03-13,7532
