Date,Pageviews
2024-01-14,67
2024-01-15,76
2024-01-16,96
2024-01-17,87
2024-01-18,115
2024-01-19,97
2024-01-20,72
2024-01-21,104
2024-01-22,161
2024-01-23,93
2024-01-24,114
2024-01-25,85
2024-01-26,86
2024-01-27,77
2024-01-28,68
2024-01-29,89
2024-01-30,128
2024-01-31,104
2024-02-01,110
2024-02-02,85
2024-02-03,64
2024-02-04,62
2024-02-05,96
2024-02-06,112
2024-02-07,81
2024-02-08,81
2024-02-09,70
2024-02-10,55
2024-02-11,43
2024-02-12,95
2024-02-13,86
2024-02-14,104
2024-02-15,105
2024-02-16,92
2024-02-17,70
2024-02-18,59
2024-02-19,68
2024-02-20,114
2024-02-21,107
2024-02-22,173
2024-02-23,93
2024-02-24,58
2024-02-25,72
2024-02-26,99
2024-02-27,93
2024-02-28,94
2024-02-29,89
2024-03-01,82
2024-03-02,62
2024-03-03,65
2024-03-04,76
2024-03-05,90
2024-03-06,90
2024-03-07,110
2024-03-08,103
2024-03-09,63
2024-03-10,67
2024-03-11,87
2024-03-12,114
2024-03-13,133
