Date,Pageviews
2024-01-14,77
2024-01-15,79
2024-01-16,64
2024-01-17,75
2024-01-18,78
2024-01-19,84
2024-01-20,40
2024-01-21,56
2024-01-22,73
2024-01-23,87
2024-01-24,98
2024-01-25,75
2024-01-26,60
2024-01-27,57
2024-01-28,39
2024-01-29,122
2024-01-30,111
2024-01-31,86
2024-02-01,101
2024-02-02,85
2024-02-03,36
2024-02-04,53
2024-02-05,74
2024-02-06,135
2024-02-07,222
2024-02-08,221
2024-02-09,95
2024-02-10,66
2024-02-11,54
2024-02-12,104
2024-02-13,129
2024-02-14,113
2024-02-15,102
2024-02-16,54
2024-02-17,49
2024-02-18,40
2024-02-19,69
2024-02-20,76
2024-02-21,69
2024-02-22,61
2024-02-23,79
2024-02-24,47
2024-02-25,47
2024-02-26,96
2024-02-27,91
2024-02-28,70
2024-02-29,71
2024-03-01,62
2024-03-02,45
2024-03-03,42
2024-03-04,67
2024-03-05,141
2024-03-06,84
2024-03-07,77
2024-03-08,76
2024-03-09,49
2024-03-10,51
2024-03-11,78
2024-03-12,90
2024-03-13,69
